time;temperature_2m (°C);relative_humidity_2m (%);wind_speed_10m (km/h);shortwave_radiation (W/m2);diffuse_radiation (W/m2)
2025-01-01T00:00;10.0;74;3.1;0.0;0.0
2025-01-01T01:00;10.3;72;2.7;0.0;0.0
2025-01-01T02:00;10.4;71;1.5;0.0;0.0
2025-01-01T03:00;9.9;71;1.2;0.0;0.0
2025-01-01T04:00;10.2;68;1.0;0.0;0.0
2025-01-01T05:00;10.4;67;1.0;0.0;0.0
2025-01-01T06:00;9.9;69;2.2;0.0;0.0
2025-01-01T07:00;10.7;69;3.3;13.0;8.0
2025-01-01T08:00;12.5;73;4.7;129.0;48.0
2025-01-01T09:00;13.9;67;4.8;276.0;71.0
2025-01-01T10:00;14.5;67;6.5;392.0;82.0
2025-01-01T11:00;14.8;67;7.2;458.0;89.0
2025-01-01T12:00;14.9;68;7.6;469.0;88.0
2025-01-01T13:00;14.7;70;7.2;425.0;83.0
2025-01-01T14:00;14.4;74;7.3;310.0;76.0
2025-01-01T15:00;13.8;82;7.0;172.0;60.0
2025-01-01T16:00;12.4;90;4.3;39.0;20.0
2025-01-01T17:00;11.7;90;3.7;0.0;0.0
2025-01-01T18:00;11.1;88;5.1;0.0;0.0
2025-01-01T19:00;10.4;86;5.8;0.0;0.0
2025-01-01T20:00;9.7;84;4.7;0.0;0.0
2025-01-01T21:00;9.7;81;2.8;0.0;0.0
2025-01-01T22:00;9.9;78;2.1;0.0;0.0
2025-01-01T23:00;10.2;76;2.8;0.0;0.0
2025-01-02T00:00;10.2;74;2.5;0.0;0.0
2025-01-02T01:00;9.7;76;2.8;0.0;0.0
2025-01-02T02:00;10.0;74;3.3;0.0;0.0
2025-01-02T03:00;10.0;73;3.1;0.0;0.0
2025-01-02T04:00;9.5;75;2.4;0.0;0.0
2025-01-02T05:00;9.4;75;1.9;0.0;0.0
2025-01-02T06:00;9.6;73;1.5;0.0;0.0
2025-01-02T07:00;10.0;73;1.7;13.0;8.0
2025-01-02T08:00;12.4;71;2.3;130.0;48.0
2025-01-02T09:00;13.7;62;1.3;280.0;69.0
2025-01-02T10:00;14.3;60;1.8;399.0;79.0
2025-01-02T11:00;14.6;61;3.5;467.0;85.0
2025-01-02T12:00;14.6;63;4.6;476.0;86.0
2025-01-02T13:00;14.5;69;6.6;401.0;101.0
